x,y
-88.89999800000001,6.029762
-78.8159685277534,6.518957876417876
-81.27943143270967,16.279358947761217
-82.48947965082513,26.257561418186555
-79.59338553817807,35.93085321935105
-69.59599410047007,35.20434975707585
-61.132032364618354,29.814031613765433
-51.650582960726204,26.288877143235272
-41.82279247015025,24.32069552401112
-31.90508989769247,22.94163540207189
-23.720932513791254,28.76696436278784
-14.770016174524153,33.28807248128151
-6.256261980624077,38.63452675389901
2.703765178610081,43.12917563282751
11.981384073298099,47.37289623097338
21.06902021444451,51.827044329462595
30.134714353292026,56.1310696620378
24.86718120981195,47.57469160143878
